HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
130533,Tortricidae,Ctenopseustis,obliquana,,Walker,Rosaceae,Rubus,,,New Zealand,,
5140,Carposinidae,Heterocrossa,adreptella,,Walker,Rosaceae,Rubus,,,New Zealand,,
5141,Carposinidae,Heterocrossa,adreptella,,Walker,Rosaceae,Rubus,,,New Zealand,in shoots,
5143,Carposinidae,Heterocrossa,rubophaga,,Dugdale,Rosaceae,Rubus,,,New Zealand,,
5069,Carposinidae,Carposina,adreptella,,Walker,Rosaceae,Rubus,fruticosus,,New Zealand,,
5144,Carposinidae,Heterocrossa,rubophaga,,Dugdale,Rosaceae,Rubus,fruticosus,,New Zealand,,
136528,Tortricidae,Planotortrix,excessana,,Walker,Rosaceae,Rubus,fruticosus,,New Zealand,,
5070,Carposinidae,Carposina,adreptella,,Walker,Rosaceae,Rubus,idaeus,,New Zealand,,
61585,Noctuidae,Graphania,insignis,,Walker,Polygonaceae,Rumex,,,New Zealand,,
136529,Tortricidae,Planotortrix,excessana,,Walker,Polygonaceae,Rumex,obtusifolius,,New Zealand,,
29561,Hepialidae,Aenetus,virescens,,Doubleday,Salicaceae,Salix,,,New Zealand,in branches/stems,
69743,Noctuidae,Rictonis,comma,,Walker,Salicaceae,Salix,,,New Zealand,on bark,
99713,Pterophoridae,Pterophorus,monospilalis,,Walker,Araliaceae,Schefflera,digitata,,New Zealand,on,
2856,Arctiidae,Nyctemera,annulata,,Boisduval,Compositae,Senecio,,,New Zealand,,
2857,Arctiidae,Nyctemera,annulata,,Boisduval,Compositae,Senecio,glomeratus,,New Zealand,,
130546,Tortricidae,Ctenopseustis,obliquana,,Walker,Taxodiaceae,Sequoia,sempervirens,,New Zealand,on leaves/shoots,
136534,Tortricidae,Planotortrix,excessana,,Walker,Taxodiaceae,Sequoia,sempervirens,,New Zealand,on leaves,
136515,Tortricidae,Planotortrix,clarkei,,Philpott,Gleicheniaceae,Sticherus,,,New Zealand,,
128716,Tortricidae,Catamacta,lotinana,,Meyrick,Gramineae,Stipa,conspicuum,,New Zealand,on,
59319,Noctuidae,Dipaustica,epiastra,,Meyrick,Gramineae,Stipa,conspicuum,,New Zealand,,
11674,Gelechiidae,Megacraspedus,calamogonus,,Meyrick,Gramineae,Stipa,conspicuum,,New Zealand,in seeds,
136535,Tortricidae,Planotortrix,excessana,,Walker,Cupressaceae,Thuja,plicata,,New Zealand,on leaves,
14824,Geometridae,Chalastra,pellurgata,,Walker,Osmundaceae,Todea,,,New Zealand,,
61998,Noctuidae,Helicoverpa,armigera,,Hübner,Leguminosae (P),Trifolium,,,New Zealand,,
29860,Hepialidae,Wiseana,cervinata,,Walker,Leguminosae (P),Trifolium,,,New Zealand,,
44684,Lycaenidae,Zizina,labradus,,Godart,Leguminosae (P),Trifolium,,,New Zealand,,
6274,Coleophoridae,Coleophora,trifolii,,Curtis,Leguminosae (P),Trifolium,fragiferum,,New Zealand,,
6240,Coleophoridae,Coleophora,spissicornis,,Haworth,Leguminosae (P),Trifolium,repens,,New Zealand,,
6275,Coleophoridae,Coleophora,trifolii,,Curtis,Leguminosae (P),Trifolium,repens,,New Zealand,,
68351,Noctuidae,Persectania,aversa,,Walker,Gramineae,Triticum,,,New Zealand,,
25248,Glyphipterigidae,Phryganostola,achlyoessa,,Meyrick,Gramineae,Triticum,,,New Zealand,,
91457,Oecophoridae,Stathmopoda,phlegyra,,Meyrick,Typhaceae,Typha,angustifolia,,New Zealand,on seeds,
9711,Gelechiidae,Anisoplaca,ptyoptera,,Meyrick,Leguminosae (P),Ulex,europaeus,,New Zealand,,
109968,Pyralidae,Udea,marmarina,,Meyrick,Urticaceae,Urtica,,,New Zealand,on,
89380,Nymphalidae,Vanessa,gonerilla,,Fabricius,Urticaceae,Urtica,australis,,New Zealand,,
89382,Nymphalidae,Vanessa,gonerilla,,Fabricius,Urticaceae,Urtica,ferox,,New Zealand,,
89383,Nymphalidae,Vanessa,gonerilla,,Fabricius,Urticaceae,Urtica,incisa,,New Zealand,,
89408,Nymphalidae,Vanessa,itea,,Fabricius,Urticaceae,Urtica,incisa,,New Zealand,,
89410,Nymphalidae,Vanessa,itea,,Fabricius,Urticaceae,Urtica,urens,,New Zealand,,
130534,Tortricidae,Ctenopseustis,obliquana,,Walker,Ericaceae,Vaccinium,,,New Zealand,,
136530,Tortricidae,Planotortrix,excessana,,Walker,Ericaceae,Vaccinium,,,New Zealand,,
109928,Pyralidae,Udea,daiclealis,,Walker,Scrophulariaceae,Veronica,macrocarpa,,New Zealand,on,
130535,Tortricidae,Ctenopseustis,obliquana,,Walker,Vitaceae,Vitis,,,New Zealand,,
27244,Gracillariidae,Macarostola,formosa,,Stainton,Myrtaceae,Waterhousea,floribunda,,New Zealand,,
68352,Noctuidae,Persectania,aversa,,Walker,Gramineae,Zea,mays,,New Zealand,,
