HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
101075,Pyralidae,Cactoblastis,doddi,,Heinrich,Cactaceae,Opuntia,ficus-indica,,Argentina,,
101076,Pyralidae,Cactoblastis,doddi,,Heinrich,Cactaceae,Opuntia,sulphurea,,Argentina,,
108966,Pyralidae,Salambona,analamprella,,Dyar,Cactaceae,Opuntia,sulphurea,,Argentina,,
98541,Psychidae,Oiketicus,platensis,,Berg,Corylaceae,Ostrya,virginiana,,Argentina,,
99097,Pterophoridae,Adaina,nr. invida,,Meyrick,Compositae,Parthenium,hysterophorus,,Argentina,,
73435,Noctuidae,Tripseuxoa,strigata,,Hampson,Gramineae,Pennisetum,,,Uruguay,,
88184,Nymphalidae,Prepona,demophon,,Linnaeus,Lauraceae,Persea,americana,,Argentina,,
87240,Nymphalidae,Opsiphanes,invirae,,Hübner,Palmae,Phoenix,,,Argentina,,
131316,Tortricidae,Deltinea,dimorpha,,Clarke,Phytolaccaceae,Phytolacca,dioica,,Argentina,,
136832,Tortricidae,Proeulia,chrysopteris,,Butler,Pinaceae,Pinus,,,Argentina,,
83857,Nymphalidae,Fountainea,cratais,,Hewitson,Piperaceae,Piper,,,Argentina,,
81567,Nymphalidae,Consul,fabius,,Cramer,Piperaceae,Piper,gaudichaudianum,,Argentina,,
98610,Psychidae,Oiketicus,westwoodii,,Berg,Leguminosae (M),Piptadenia,gonoacantha,,Argentina,,
98613,Psychidae,Oiketicus,westwoodii,,Berg,Leguminosae (M),Piptadenia,gonoacantha,,Argentina,on,
85109,Nymphalidae,Junonia,evarete,,Cramer,Plantaginaceae,Plantago,,,Argentina,,
128616,Tortricidae,Bonagota,cranaodes/salubricol,,,Platanaceae,Platanus,orientalis,,Argentina,,
83572,Nymphalidae,Euptychia,eous,,Butler,Gramineae,Poa,annua,,Argentina,,
83584,Nymphalidae,Euptychia,necys,,Godman,Gramineae,Poa,annua,,Argentina,,
84262,Nymphalidae,Hermeuptychia,hermes,,Fabricius,Gramineae,Poa,annua,,Argentina,,
128617,Tortricidae,Bonagota,cranaodes/salubricol,,,Polygonaceae,Polygonum,,,Argentina,,
98532,Psychidae,Oiketicus,moyanoi,,Bahamondes,Salicaceae,Populus,,,Argentina,,
114023,Saturniidae,Giacomellia,formosa,,Dognin,Leguminosae (M),Prosopis,,,Argentina,on,
21492,Geometridae,Nephodia,marginata,,Warren,Leguminosae (M),Prosopis,,,Argentina,on leaves,
98390,Psychidae,Oiketicus,bergii,,Weyenbergh,Leguminosae (M),Prosopis,,,Argentina,on,
98429,Psychidae,Oiketicus,horni,,Köhler,Leguminosae (M),Prosopis,,,Argentina,,
98430,Psychidae,Oiketicus,horni,,Köhler,Leguminosae (M),Prosopis,,,Argentina,on,
98611,Psychidae,Oiketicus,westwoodii,,Berg,Leguminosae (M),Prosopis,,,Argentina,,
98614,Psychidae,Oiketicus,westwoodii,,Berg,Leguminosae (M),Prosopis,,,Argentina,on,
119059,Sesiidae,Synanthedon,sciophilaeformis,,Walker,Leguminosae (M),Prosopis,,,Argentina,,
35335,Lasiocampidae,Tolype,guentheri,,Berg,Leguminosae (M),Prosopis,,,Argentina,on leaves,
112525,Saturniidae,Automeris,oberthurii,,Boisduval,Leguminosae (M),Prosopis,alba,,Argentina,on,
21493,Geometridae,Nephodia,marginata,,Warren,Leguminosae (M),Prosopis,alba,,Argentina,on leaves,
35336,Lasiocampidae,Tolype,guentheri,,Berg,Leguminosae (M),Prosopis,alba,,Argentina,on leaves,
35433,Lasiocampidae,Tolype,viuda,,Schaus,Leguminosae (M),Prosopis,alba,,Argentina,on,
90179,Oecophoridae,Cecidolechia,maculicostella,,Strand,Leguminosae (M),Prosopis,alpataco,,Argentina,in flower galls,
112526,Saturniidae,Automeris,oberthurii,,Boisduval,Leguminosae (M),Prosopis,nigra,,Argentina,on,
114022,Saturniidae,Giacomellia,bilineata,,Burmeister,Leguminosae (M),Prosopis,nigra,,Argentina,on,
35337,Lasiocampidae,Tolype,guentheri,,Berg,Leguminosae (M),Prosopis,nigra,,Argentina,on leaves,
35434,Lasiocampidae,Tolype,viuda,,Schaus,Leguminosae (M),Prosopis,nigra,,Argentina,on,
11057,Gelechiidae,Evippe,,,,Leguminosae (M),Prosopis,ruscifolia,,Argentina,,
98391,Psychidae,Oiketicus,bergii,,Weyenbergh,Leguminosae (M),Prosopis,strombulifera,,Argentina,on,
128618,Tortricidae,Bonagota,cranaodes/salubricol,,,Rosaceae,Prunus,domestica,,Argentina,,
131303,Tortricidae,Deltinea,bourquini,,Clarke,Rosaceae,Prunus,domestica,,Argentina,,
98542,Psychidae,Oiketicus,platensis,,Berg,Rosaceae,Prunus,persica,,Argentina,,
